C500.TCGA-ZF-AA4T-10A-01D-A38J-08.2_gdc_realn	C500.TCGA-ZF-AA4T-10A-01D-A38J-08.2_gdc_realn.bam	C500.TCGA-ZF-AA4T-10A-01D-A38J-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8VjJvz456Jx38gQY0zJ6	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8g8Jvz4Kk8zV4p5P6yJV
C500.TCGA-ZF-A9R9-10A-01D-A38J-08.2_gdc_realn	C500.TCGA-ZF-A9R9-10A-01D-A38J-08.2_gdc_realn.bam	C500.TCGA-ZF-A9R9-10A-01D-A38J-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8JQJByYx00FfPzy1bvJq	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8Y8JByYb6Jx38gQY0zJj
C1760.TCGA-YZ-A982-10A-01D-A39Z-08.3_gdc_realn	C1760.TCGA-YZ-A982-10A-01D-A39Z-08.3_gdc_realn.bam	C1760.TCGA-YZ-A982-10A-01D-A39Z-08.3_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8G8J84Y7zBzY8gK00XJ2	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8VjJ84YFbgF9FkJYKyJP
C500.TCGA-ZF-AA51-10A-01D-A394-08.1_gdc_realn	C500.TCGA-ZF-AA51-10A-01D-A394-08.1_gdc_realn.bam	C500.TCGA-ZF-AA51-10A-01D-A394-08.1_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8FjJ4vFQxz4V3yxfG5Jz	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8Q8J4vFb6qfYBqG3ZqPP
TCGA-YU-AA61-10A-01D-A438-10_Illumina_gdc_realn	TCGA-YU-AA61-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-YU-AA61-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ89jJqK7J1Fgx2XGjfPjB	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8PjJqK73Zbv84p616Fg3
TCGA-ZN-A9VO-10A-01D-A39U-32_gdc_realn	TCGA-ZN-A9VO-10A-01D-A39U-32_gdc_realn.bam	TCGA-ZN-A9VO-10A-01D-A39U-32_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ7qQJ3p4gqGVy8Vb0KJf9	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ82jJ3p4xpkQ3Fjp55vGf
TCGA-ZM-AA0D-10A-01D-A438-10_Illumina_gdc_realn	TCGA-ZM-AA0D-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-ZM-AA0D-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ7f0J72G3Ky3F8XzbQ70X	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ7xQJ72G99x9jFggq1BG9
TCGA-ZM-AA05-10A-01D-A438-10_Illumina_gdc_realn	TCGA-ZM-AA05-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-ZM-AA05-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ7Z8JvQzjKgZV3z38fZv5	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ7qjJvQzV3fpJG2vv99Yj
TCGA-ZN-A9VV-10A-01D-A39U-32_gdc_realn	TCGA-ZN-A9VV-10A-01D-A39U-32_gdc_realn.bam	TCGA-ZN-A9VV-10A-01D-A39U-32_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ7B8JF6vBV8FxGZGb31qV	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ7fQJF6v99x9jFggq1BG2
TCGA-XE-AAO4-10A-01D-A438-10_Illumina_gdc_realn	TCGA-XE-AAO4-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-XE-AAO4-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6z8JPYK13fpJG2vv99P1	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ7F8JPYK3qBVQ8VJZZy0y
C500.TCGA-ZF-A9RM-10A-01D-A38J-08.2_gdc_realn	C500.TCGA-ZF-A9RM-10A-01D-A38J-08.2_gdc_realn.bam	C500.TCGA-ZF-A9RM-10A-01D-A38J-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ738J5py8y19F3kyBXXbY	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ790J5py99x9jFggq1BF7
C500.TCGA-ZF-AA4N-10A-01D-A38J-08.2_gdc_realn	C500.TCGA-ZF-AA4N-10A-01D-A38J-08.2_gdc_realn.bam	C500.TCGA-ZF-AA4N-10A-01D-A38J-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ70QJyp68Z3BJ3kV6vPBp	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ76QJyp656Jx38gQY0z79
TCGA-ZM-AA0B-10A-01D-A438-10_Illumina_gdc_realn	TCGA-ZM-AA0B-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-ZM-AA0B-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6yQJ1G24vJ6z05Pzj728	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ760J1G23Zbv84p616FZJ
C500.TCGA-ZF-A9R4-10A-01D-A38J-08.2_gdc_realn	C500.TCGA-ZF-A9R4-10A-01D-A38J-08.2_gdc_realn.bam	C500.TCGA-ZF-A9R4-10A-01D-A38J-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ720J98k8KgZV3z38fZqf	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ74jJ98kKk8zV4p5P6y8v
TCGA-ZP-A9CY-10B-01D-A385-10_Illumina_gdc_realn	TCGA-ZP-A9CY-10B-01D-A385-10_Illumina_gdc_realn.bam	TCGA-ZP-A9CY-10B-01D-A385-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6gQJ7yFgzBzY8gK00X8b	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ728J7yFf7yJP8XQ2K72Z
TCGA-ZS-A9CD-10A-01D-A370-10_Illumina_gdc_realn	TCGA-ZS-A9CD-10A-01D-A370-10_Illumina_gdc_realn.bam	TCGA-ZS-A9CD-10A-01D-A370-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6BjJyQYKk8zV4p5P6y7V	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6b0JyQY7qGVy8Vb0KJY2
C500.TCGA-ZF-AA4R-10A-01D-A38J-08.2_gdc_realn	C500.TCGA-ZF-AA4R-10A-01D-A38J-08.2_gdc_realn.bam	C500.TCGA-ZF-AA4R-10A-01D-A38J-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6P0J3B45686p3zjqfk01	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6ZQJ3B4BK6FzFgzqjx7y
C440.TCGA-ZQ-A9CR-10A-01D-A39A-08.2_gdc_realn	C440.TCGA-ZQ-A9CR-10A-01D-A39A-08.2_gdc_realn.bam	C440.TCGA-ZQ-A9CR-10A-01D-A39A-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6J0JZ167J3GyPzj6PPQv	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6XQJZ1610pqQ4v2ZFV5F
C1760.TCGA-YZ-A985-10A-01D-A39Z-08.2_gdc_realn	C1760.TCGA-YZ-A985-10A-01D-A39Z-08.2_gdc_realn.bam	C1760.TCGA-YZ-A985-10A-01D-A39Z-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6BQJQP5zG8VX8jKV4B82	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6P8JQP5X82vv8VFx9p9P
TCGA-YU-A90S-10A-01D-A438-10_Illumina_gdc_realn	TCGA-YU-A90S-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-YU-A90S-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ618J531gqGVy8Vb0KJXJ	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ6JjJ531kK77JG2jfbjQG
TCGA-ZN-A9VQ-10A-01D-A39U-32_gdc_realn	TCGA-ZN-A9VQ-10A-01D-A39U-32_gdc_realn.bam	TCGA-ZN-A9VQ-10A-01D-A39U-32_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5z8J757504qj3kqq0Zv8	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ66jJ757PG8VX8jKV4B7z
TCGA-ZM-AA0F-10A-01D-A438-10_Illumina_gdc_realn	TCGA-ZM-AA0F-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-ZM-AA0F-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5q0JfZbyF4pz04qQbX1x	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ658JfZbf7yJP8XQ2K71x
TCGA-XE-AANR-10A-01D-A438-10_Illumina_gdc_realn	TCGA-XE-AANR-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-XE-AANR-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5b8Jj4FjB2pq3zX0Bb9J	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5z8Jj4Ff0YFY2Xzf9kYK
C529.TCGA-ZG-A9NI-10A-01D-A41N-08.3_gdc_realn	C529.TCGA-ZG-A9NI-10A-01D-A41N-08.3_gdc_realn.bam	C529.TCGA-ZG-A9NI-10A-01D-A41N-08.3_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5g0J0XYjy19F3kyBXXZ4	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5x8J0XYgzBzY8gK00X7k
TCGA-ZM-AA0N-10A-01D-A438-10_Illumina_gdc_realn	TCGA-ZM-AA0N-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-ZM-AA0N-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5ZjJQ1kJg9BkFjjp1zyp	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5v8JQ1k78p163zZjJG3P
C440.TCGA-VQ-A928-10A-01D-A413-08.4_gdc_realn	C440.TCGA-VQ-A928-10A-01D-A413-08.4_gdc_realn.bam	C440.TCGA-VQ-A928-10A-01D-A413-08.4_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5KQJkv9760032Y43Q7Vq	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5q8Jkv9K94Qj3kzQ2G67
TCGA-ZN-A9VW-10A-01D-A39U-32_gdc_realn	TCGA-ZN-A9VW-10A-01D-A39U-32_gdc_realn.bam	TCGA-ZN-A9VW-10A-01D-A39U-32_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5VQJVpJ9K77JG2jfbjPf	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5f8JVpJ598qvG1pVx573
C500.TCGA-ZF-A9RC-10A-01D-A38J-08.2_gdc_realn	C500.TCGA-ZF-A9RC-10A-01D-A38J-08.2_gdc_realn.bam	C500.TCGA-ZF-A9RC-10A-01D-A38J-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5J0JBYyGB68j3qYy4jpk	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5XQJBYy99x9jFggq1B81
TCGA-ZM-AA0H-10A-01D-A438-10_Illumina_gdc_realn	TCGA-ZM-AA0H-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-ZM-AA0H-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5F0JJkkxg9BkFjjp1zyb	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5X8JJkkzvxPx3p3j86PG
