batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
1013990	1013990_23153_0_0.cram	1013990_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby720JZxbFJqj13pX3qJG9	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby6z0JZxb9g7P43kGQXP2p
1014000	1014000_23153_0_0.cram	1014000_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxgBjJkFFByB9v3jV38Q75	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxgBjJkFF3y25J9XJb5FBk
1014048	1014048_23153_0_0.cram	1014048_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby8j0JY22Y6fz03jJVfJGz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby8gQJY22zgyZ03jF79777
1014054	1014054_23153_0_0.cram	1014054_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx4VjJZYj8qy9P3j9QQ2f6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx4VjJZYjFJqj13pX3q5k2
1014076	1014076_23153_0_0.cram	1014076_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby108Jb7136fz03jJVfFqJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby0y0Jb716QX8B3kyz0px8
1014102	1014102_23153_0_0.cram	1014102_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybygvQJ2kZYfQVX3jFk0KKF	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybygv8J2kZj3pf33jvJvKy3
1014164	1014164_23153_0_0.cram	1014164_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxP50J7gPv4jfV3jbZZ3Bf	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxP3QJ7gPYy9vZ3kP6jffX
1014188	1014188_23153_0_0.cram	1014188_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxp38JFqvYy25J9XJb5Fpv	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxp30JFqvf5Yx53k17F4V9
1014209	1014209_23153_0_0.cram	1014209_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZ3jJk0p0zQ6f737bXZby	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZ3QJk0pP6V3k3kzV0zV6
1014217	1014217_23153_0_0.cram	1014217_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxQQJq9X0F8xJ3kB942zB	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxQ8Jq9X7J5pq6gy76y6b
1014238	1014238_23153_0_0.cram	1014238_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby240JxyV8zFQF3jG6zPQP	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby22QJxyV36fz03jJVfG5z
1014263	1014263_23153_0_0.cram	1014263_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx868JkXfk65763jfjyg4f	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx85jJkXfXQf4v3jQjkPzv
1014275	1014275_23153_0_0.cram	1014275_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf44kjJGVBFX08fG45vP3Z1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf44k8JGVBP6V3k3kzV1xJV
1014329	1014329_23153_0_0.cram	1014329_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby8yQJBY6v9ky93jF7YByK	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby8xQJBY6z6V3k3kzV0x0z
1014365	1014365_23153_0_0.cram	1014365_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby80jJ6b9PgyZ03jF7970V	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby7qQJ6b9P6V3k3kzV0vjz
1014421	1014421_23153_0_0.cram	1014421_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYqjJ96J3y9vZ3kP6jy7g	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYq0J96J1Jx4y3kq3y2b5
1014457	1014457_23153_0_0.cram	1014457_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4G4jJjV8xJ1YV3jzqZyxZ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4G48JjV8zgyZ03jF7BBxx
1014505	1014505_23153_0_0.cram	1014505_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4FpjJ1v3QzQ6f737bYGZj	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4FpQJ1v3zzFk0PvKKPZG0
1014518	1014518_23153_0_0.cram	1014518_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyvzjJ2990F8xJ3kB94P2J	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyvzQJ29936fz03jJVfVq9
1014520	1014520_23153_0_0.cram	1014520_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1Xq8Jj9QQF8xJ3kB94jqx	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1XpQJj9QXQf4v3jQjp3Jp
1014551	1014551_23153_0_0.cram	1014551_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4V40JFx0pzx9v3k28PyF0	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4V38JFx0YfQVX3jFk14Gz
1014622	1014622_23153_0_0.cram	1014622_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4yz8JQj8GJ1Bv3jzp1FB7	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4yyjJQj836fz03jJVg9k8
1014674	1014674_23153_0_0.cram	1014674_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5X8JQqgPzFk0PvKKKJZp	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5X0JQqg0ZfJQ3kvV7gG3
1014760	1014760_23153_0_0.cram	1014760_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby9Y0JbBKBZkpz3kYVK469	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby9XjJbBK5j06Y3jy23Z2J
1014787	1014787_23153_0_0.cram	1014787_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz3YQJv7PbVfK43k0bFBby	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz3BQJv7PpPb85K6yJ01Xx
1014828	1014828_23153_0_0.cram	1014828_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4f08JG5kXKg6V3jYvx32V	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4bzQJG5kxJ1YV3jzqb16q
1014835	1014835_23153_0_0.cram	1014835_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3kz8J1v3YfQVX3jFk0yy2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3kz8J1v3zgyZ03jF7B1px
1014856	1014856_23153_0_0.cram	1014856_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3xZjJz9xVv92p3jFzj6GY	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3xZjJz9xfX5613kgxJ43V
1014861	1014861_23153_0_0.cram	1014861_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYP8J2bqQF8xJ3kB946fb	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYP0J2bqk65763jfjyk3V
1014883	1014883_23153_0_0.cram	1014883_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FygQVJ8JKJZjf4qkBgF6P4Z9	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FygQVJ8JKJZfBb0PJpBJVV7Q
1014927	1014927_23153_0_0.cram	1014927_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz20QJkXfj3pf33jvJvVXG	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz200JkXfQzQ6f737bXj91
1014986	1014986_23153_0_0.cram	1014986_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx1qjJ7gPyYGJZ3jyQ9p1Z	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx1qjJ7gPQZfJQ3kvV7QP8
