batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
1950712	1950712_23153_0_0.cram	1950712_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyz60JbPpVJx4y3kq3y5Jb	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyz5jJbPpqX08fG45vKKxz
1950733	1950733_23153_0_0.cram	1950733_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx3p0JjQXk65763jfjyfP3	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx3j0JjQXkPxkG3k8v62Fx
1950749	1950749_23153_0_0.cram	1950749_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPzQJzBxQjz7g3jJVVQQ8	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPzQJzBxvXqY33k9G3KK2
1950757	1950757_23153_0_0.cram	1950757_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby7PjJFqvbVfK43k0bF2Yg	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby798JFqvy7Jp68g0XX235
1950770	1950770_23153_0_0.cram	1950770_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf22QQJXpkXQf4v3jQjp4gX	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf22Q0JXpkqJqj13pX3qvxk
1950785	1950785_23153_0_0.cram	1950785_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4qP8Jx14Kxx324vBY21Q1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4qKQJx14PgyZ03jF7BKjf
1950794	1950794_23153_0_0.cram	1950794_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx9J0JZB9k58zV3kz19X8B	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx9f0JZB9pPb85K6yGzb8X
1950805	1950805_23153_0_0.cram	1950805_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf49G8JpP3PgyZ03jF7B57p	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf49F8JpP364Zg33jJkgkZ3
1950818	1950818_23153_0_0.cram	1950818_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxQFQJqXkkb4843jZpX076	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxQB8JqXkXKg6V3jYvqj96
1950820	1950820_23153_0_0.cram	1950820_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4KzjJjV8pyB9v3jV39Fvj	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Kz8JjV8j3pf33jvJx4Fb
