batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
1125120	1125120_23153_0_0.cram	1125120_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxZp0JvJPp2P0F3P9JVbb0	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxZj0JvJPQ5xP83jXBJY2f
1125385	1125385_23153_0_0.cram	1125385_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvkP0JP5v2Kg6V3jYvq9k1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvkJ8JP5vJ9g6y3jJvf59Z
1125508	1125508_23153_0_0.cram	1125508_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby33jJVj9kg7P43kGQXKF4	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby30jJVj9YfQVX3jFk0B46
1127493	1127493_23153_0_0.cram	1127493_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby3vQJ01FFX08fG45vK8fX	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby3VQJ01FB2P0F3P9JVjz5
1127599	1127599_23153_0_0.cram	1127599_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx1Z0J8kvByB9v3jV38FJB	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx1YjJ8kvFJqj13pX3q5P6
1127631	1127631_23153_0_0.cram	1127631_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxXkjJvj4Kgz4q3jyq4G71	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxXjjJvj45xXGv3jPxx0j2
1127650	1127650_23153_0_0.cram	1127650_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Kx8JvPJfX5613kgxJ87z	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Kv0JvPJfbJq23kb912z4
1127948	1127948_23153_0_0.cram	1127948_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybypQQJ4zgk3V1V3jZGF7G0	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybypQQJ4zgk65763jfjz1BY
1127981	1127981_23153_0_0.cram	1127981_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYv0J06G2Qf4v3jQjkX80	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYpjJ06GBZkpz3kYVJzXQ
1127997	1127997_23153_0_0.cram	1127997_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYF0Jb71PgyZ03jF792jJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYBjJb716X5613kgxG81V
